Genes	HSC	MPP	LMPP	CLP	GMP-A	GMP-B	GMP-C	CMP	MEP	NK	CD4	CD8	B	pDC	Mono	Ery
RP11-73M7.6	62	96	21	8	1	0	120	80	42	44	84	78	49	23	105	3
RP11-421L21.2	62	91	27	33	5	1	0	47	33	107	160	113	105	7	44	1
HCFC1-AS1	8	8	10	9	3	0	0	24	16	2	7	10	1	7	10	5
RP4-646N3.1	5	24	22	56	0	5	0	8	46	1	31	16	12	0	2	51
RP11-308B5.2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1
RP1-125N5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-359J6.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0
RP5-1022P6.5	7	9	0	12	2	0	0	5	2	29	31	23	33	0	10	42
LINC01073	0	0	0	0	0	0	0	4	0	5	1	1	0	0	7	0
LINC00837	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
SRGAP3-AS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHE40-AS1	74	87	16	49	3	6	30	93	59	217	105	52	66	23	53	0
AC073333.8	46	74	54	103	6	10	10	128	128	16	52	49	40	4	37	14
AC012363.13	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
RP13-16H11.5	5	8	7	3	0	0	0	6	9	7	6	3	0	0	2	0
RP11-272D20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RMDN2-AS1	0	0	9	7	0	0	0	9	37	20	13	13	28	0	28	67
HS6ST2-AS1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
AC005540.3	21	27	1	9	1	0	2	29	14	18	37	25	52	3	39	2
RP11-36D19.8	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0
RP11-338C15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
B3GALT4	74	121	58	221	10	48	2	132	83	301	301	215	137	7	463	6
GSN-AS1	112	156	74	13	0	0	0	78	36	113	14	3	37	65	555	4
RP11-335O4.3	10	8	6	17	0	0	0	6	7	51	65	51	41	5	9	0
ARHGEF7-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP001468.1	1	3	0	0	0	0	0	1	1	3	1	1	2	0	0	0
RP11-59O6.3	27	10	6	10	0	0	0	14	6	18	13	9	16	1	136	0
AC114776.3	1	1	0	0	0	1	1	0	0	0	1	0	0	0	2	0
LINC00941	12	3	0	5	3	3	0	120	77	9	0	14	0	0	1	0
AC023115.2	7	30	1	0	0	0	0	0	1	0	0	3	0	0	0	0
RP4-672N11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RP11-763B22.6	1	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0
AF064858.8	37	56	11	8	0	1	20	49	104	0	0	0	0	33	29	0
TSPEAR-AS1	9	4	0	0	0	0	0	8	3	0	0	0	6	0	0	0
TM4SF19-AS1	2	7	0	6	5	14	0	4	2	19	3	3	3	2	2	1
RP11-345L23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-626E13.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CPB2-AS1	15	28	17	88	0	1	0	80	39	22	15	8	14	22	15	2
RBMS3-AS3	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
APOA1-AS	2	13	3	2	1	0	0	23	10	10	14	8	79	0	31	9
AC019055.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MACROD2-AS1	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0
NEXN-AS1	2	8	16	2	0	8	0	13	10	12	9	9	7	1	7	0
C10orf40	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RP5-1185H19.2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AC007405.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RP11-123B3.2	1	1	0	1	1	0	0	0	1	1	8	1	8	0	9	0
LCE6A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGOT	430	355	211	314	24	47	26	349	290	120	253	177	1230	70	452	0
AC061961.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBOX5-AS1	142	73	19	41	1	0	0	54	42	40	123	92	67	9	125	24
PNMA6C	4	9	4	0	11	0	0	19	4	0	0	0	0	0	0	0
AP000431.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-472G23.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018816.3	161	126	48	380	13	2	17	164	59	90	189	112	475	56	110	0
AC004448.5	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0
GPC5-AS1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MORC2-AS1	8	24	6	5	0	0	0	8	27	5	27	35	17	3	2	7
RP3-470B24.5	0	1	0	0	0	0	34	0	0	0	1	0	0	0	0	0
RP11-97N19.2	0	0	1	0	0	0	0	38	12	0	0	0	0	0	2	0
AC109642.1	0	0	0	0	0	0	1	0	0	0	2	1	3	0	0	0
RP11-403I13.8	1076	1385	463	275	234	220	567	831	1072	3296	2092	1850	642	100	621	7
AC007050.17	41	92	28	13	1	0	1	61	43	63	72	33	121	88	259	5
AC011747.4	16	7	0	32	1	1	27	0	31	12	0	0	1	0	58	4
RP11-293F5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
RP3-332B22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-3J17.3	409	438	275	379	124	78	61	485	346	199	252	267	252	115	463	41
ASMTL-AS1	11	8	9	2	0	4	0	3	10	6	21	13	17	5	8	2
RP11-195C7.1	17	25	4	18	9	12	0	37	23	35	55	43	55	39	62	6
RP11-160E2.16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RP11-483H20.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PATE3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RP11-323C15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL953854.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01036	54	26	26	18	5	6	11	79	65	16	45	21	2	73	3	44
RP11-269F20.1	71	71	40	49	4	0	0	50	10	133	162	102	97	5	16	0
OR5H14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC019117.2	0	0	6	4	15	4	0	3	1	0	7	3	7	1	5	1
RP3-467K16.7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0
AC004920.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104777.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYCBP2-AS1	73	96	42	69	5	2	7	112	45	52	131	106	218	0	85	2
LL22NC03-86D4.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LINC01067	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0
LL22NC03-104C7.1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0
RP6-191P20.4	1	0	0	0	0	0	0	0	0	1	21	16	2	0	0	0
RP1-117O3.2	158	109	204	35	1	2	260	221	224	390	174	169	186	44	305	6
RP11-389O22.1	4	7	10	7	0	0	5	2	0	19	19	18	17	0	6	0
RP5-1011O1.3	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0
LINC01072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC095067.1	0	0	0	2	0	0	0	0	1	0	0	1	9	0	1	0
AC074389.9	0	1	0	0	1	0	0	1	4	3	0	0	1	0	0	0
RP11-217L21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-473B4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-148B18.4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
RP4-639J15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB22	331	496	199	139	219	207	1085	482	454	375	390	260	244	314	754	41
AC010729.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010127.3	53	35	8	5	0	0	0	5	7	0	1	0	1	6	1	0
AC013402.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-62C3.6	38	55	48	20	0	1	11	20	37	17	45	15	29	0	8	10
RP4-754E20__A.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000688.15	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0
RP11-733O18.1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0
CT47A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP002856.4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-23B15.1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
LINC01069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-27K13.3	12	12	18	6	0	3	0	9	42	4	16	18	0	0	26	5
RP11-89F3.2	1	1	0	7	0	0	0	0	1	4	13	9	9	0	0	0
AC013727.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AD000090.2	424	450	161	40	160	463	551	522	415	61	262	202	201	35	128	7
AC079988.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1100I6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104076.3	3	17	1	1	0	1	0	4	2	2	10	4	0	0	1	1
RP11-343J3.2	0	0	0	0	0	0	54	0	0	0	0	7	1	5	0	0
AC092687.3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-268F1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-523C21.2	0	0	0	198	0	0	0	1	0	0	0	0	12	0	0	0
LINC00418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-7515	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
RP1-182D15.2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
LINC00353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKX-AS1	65	68	18	52	29	5	0	34	43	176	108	89	28	4	23	0
RP11-105N14.3	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0
AC002429.5	9	9	10	0	0	0	0	4	5	5	0	0	4	0	1	0
RP11-264I13.2	412	464	231	277	221	168	466	651	614	557	458	339	413	342	205	61
KDM4A-AS1	22	48	16	135	0	1	0	30	51	103	47	77	47	20	30	37
GRM7-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0
AC092594.1	29	52	24	19	0	7	20	26	11	15	59	56	35	8	7	3
RP11-306I1.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C10orf71-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104135.2	9	15	0	0	0	0	0	6	6	0	12	1	3	0	7	0
AC009262.2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
AC006369.2	0	0	0	0	0	0	0	0	0	215	183	167	0	0	0	0
RP11-645N11.3	16	4	51	8	0	0	50	10	2	12	4	2	1	0	0	0
RP11-400N13.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC017048.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
AC091132.1	12	7	2	15	1	0	0	6	8	22	5	2	6	3	21	0
MYO16-AS1	0	0	0	0	0	0	0	2	9	0	0	1	0	0	22	0
RP4-799P18.3	1	0	0	4	0	0	0	12	0	0	7	1	0	33	8	0
GAGE2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009404.2	87	93	13	35	5	20	0	48	50	100	251	255	90	8	50	10
DIAPH2-AS1	129	109	116	81	14	8	8	95	79	170	108	99	164	12	592	0
SHANK2-AS2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-263K19.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-467L1.4	21	12	4	4	12	0	0	7	6	10	23	13	3	5	4	0
AP006216.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-170N11.1	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0
Z82214.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDP-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC2L	0	0	0	0	0	0	0	5	0	0	5	0	0	1	0	0
AC013463.2	1	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0
ZBED5	3469	4124	2569	4403	280	267	628	2300	1758	1850	5088	3986	6217	514	2633	857
AC130710.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1099E6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSRM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007563.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
RP11-340I6.7	4	9	3	0	1	0	0	3	8	3	7	3	3	0	13	4
MRGPRG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RP11-540N6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP001189.4	10	23	0	0	0	0	0	28	6	0	6	0	0	0	1	0
RP11-126L15.4	3	1	3	0	0	0	2	2	13	0	2	2	6	0	0	0
RP11-33G16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-316M21.7	25	31	24	74	0	7	0	96	107	77	71	62	28	14	109	62
TLX1NB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC019117.1	0	9	0	0	0	0	0	0	8	0	1	1	0	0	4	0
SLFN14	78	66	14	23	0	0	0	115	147	197	121	98	24	0	16	20068
RP11-327I22.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-403L10.3	107	105	13	28	0	0	52	28	66	17	173	92	570	45	105	24
RP3-486I3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP001605.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIAL4G	6	20	4	10	1	0	0	7	14	22	44	34	18	0	6	2
RP4-591L5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-430A16.1	1	4	1	0	0	0	0	1	1	0	0	0	0	1	0	0
AC015987.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000099.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1103B4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-59D5__B.2	2	0	1	0	0	0	0	1	1	0	0	0	0	0	187	0
RP11-346D19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005220.3	0	0	5	1	0	0	0	0	0	0	0	0	1	0	6	0
LINC00437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP3-503A6.2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
AC079584.2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
RP5-827C21.2	39	174	23	6	18	7	10	65	90	9	21	10	9	56	47	3
RP11-395E19.7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GAGE12F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-525G13.2	0	3	2	7	0	6	0	5	1	4	0	0	1	0	0	0
RP11-440G9.1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
CT47A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-865N13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-15K3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-470F18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC084809.3	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
RP11-394G3.2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00479	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RP11-114M1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-307O10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITCH-AS1	0	7	0	7	0	0	0	3	1	31	9	8	11	0	8	0
RP1-287H17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-25B7.1	6	0	1	10	0	0	0	3	1	0	5	0	0	1	3	0
AC100848.1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
RP11-320G24.1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0
RP11-229P13.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS2R39	9	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
RP11-447M12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
RP11-125B21.2	0	4	9	0	0	0	0	1	0	1	0	0	28	0	0	0
RP11-476H24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-132N15.2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
AC004535.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LINC01134	4	1	3	1	0	0	1	22	25	5	0	1	0	0	17	12
TSPY10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-79M19.2	7	2	0	9	0	0	0	1	3	105	73	23	65	0	21	1
RP11-107M16.2	3	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0
AC097662.2	66	74	73	36	3	0	6	76	72	56	70	52	130	6	9	0
RP11-296A18.6	21	35	3	8	0	0	0	13	5	5	19	11	7	5	31	21
AC012361.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AP001891.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM157A	150	110	17	24	2	22	0	61	33	26	83	37	36	23	81	3
LINC00608	0	1	1	0	0	0	0	5	0	0	1	0	2	0	0	0
CT47B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018890.6	42	13	52	39	29	0	0	20	7	78	126	149	79	29	27	0
AC067956.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC123023.1	0	0	0	23	0	0	0	1	0	1	0	1	423	3	0	0
AC003092.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RP11-523L1.2	8	7	0	0	0	0	0	1	1	0	0	0	0	0	2	0
LINC00427	2	5	13	54	1	0	0	1	1	44	21	7	8	0	0	8
CTA-796E4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-795J1.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RP11-443A13.5	1	0	0	0	0	0	0	0	1	0	0	0	6	0	19	0
AC007040.8	0	0	0	0	0	0	49	0	0	0	1	0	0	1	7	0
AF127577.12	0	1	0	10	0	0	0	2	2	1	3	9	0	0	15	1
AC002401.1	0	0	0	0	0	0	0	0	0	3	0	0	1	12	2	0
AC002331.1	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0
RP1-156L9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-89N17.4	9	31	24	4	1	2	0	5	3	22	30	25	18	0	0	0
RP11-7C6.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
RP11-66A2.2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
AC107081.5	52	115	34	71	1	0	0	54	66	70	106	126	55	36	79	18
LINC00896	1	8	5	1	0	0	3	1	1	9	21	12	3	0	11	0
AC079305.11	0	3	0	0	0	0	0	4	3	0	0	0	0	0	0	0
SIX3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1050E16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP13A5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011284.3	0	0	0	6	0	0	0	0	0	0	0	0	10	0	0	0
RP11-32F11.2	2	3	0	8	0	0	0	0	1	0	5	1	4	0	0	0
RP11-707P20.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-162G10.5	20	30	7	1	1	17	0	4	4	25	55	59	29	5	29	0
AL773604.8	21	42	5	18	0	26	0	15	29	7	16	13	19	26	3	10
GPC6-AS1	5	2	8	0	0	0	0	2	10	0	0	0	0	0	0	0
RP11-134F2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-742J24.2	448	552	468	735	10	12	3	519	422	11	10	8	94	22	136	22
RP1-125I3.2	0	6	2	1	2	0	0	5	5	2	2	1	5	0	35	1
RP5-945F2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL035610.2	0	0	0	0	0	0	0	0	1	5	2	1	0	0	0	0
AC003986.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-732M18.3	836	831	268	273	33	67	237	551	513	1315	1467	944	1001	100	710	23
AC006547.13	5	3	0	8	3	0	0	9	5	25	7	4	6	5	14	47
RP11-98L5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008060.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP001619.3	13	58	3	4	0	0	0	8	30	8	17	6	5	10	18	0
RP1-118J21.5	0	0	0	0	0	0	0	0	1	0	0	0	0	14	2	0
RP11-510H23.1	96	95	55	7	9	12	3	118	65	2	0	0	0	0	29	0
RP11-443O13.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC138655.6	29	70	53	78	0	0	0	53	60	90	82	73	55	0	1	31
RP11-243J16.7	17	37	30	115	0	13	0	35	39	163	246	168	167	28	110	339
AC006369.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF26	0	2	0	0	0	0	0	0	2	2	4	2	8	0	4	0
RP11-162J8.3	14	6	0	1	0	0	26	1	0	9	6	1	13	19	1	0
RP4-669L17.2	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0
AC023115.4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ZNF853	194	253	132	4	109	63	590	314	224	177	111	191	84	125	2	2
AP000343.2	20	9	25	49	1	0	0	6	3	16	15	26	18	0	16	0
RP11-46H11.12	14	18	0	8	13	2	0	10	9	15	20	21	30	30	38	2
PITPNA-AS1	47	57	19	1	1	7	19	27	36	5	50	30	7	2	13	0
CCDC163P	101	88	42	112	21	2	5	253	127	180	128	86	212	265	61	47
RP11-252P19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016903.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-35J1.1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
IFNA4	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CTA-221G9.7	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
RP11-175D17.3	2	32	2	0	0	16	0	7	10	0	0	0	0	0	5	0
RP11-473A10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC104801.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005235.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RP11-144L1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-83J21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-108L7.4	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
AP001631.9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC114808.2	0	0	0	0	0	0	0	0	0	0	6	13	9	0	0	0
POTEH-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-85O21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKG1-AS1	51	24	1	1	0	0	0	22	12	0	0	0	0	0	0	0
RP11-69I8.2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RP5-837I24.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000688.11	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
LINC00347	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
AC068282.3	61	38	48	39	6	34	210	26	44	7	196	72	446	185	28	3
RP11-323H21.3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
ARHGEF38	100	89	59	73	8	46	27	143	129	139	192	150	175	21	129	50
LINC01010	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0
MYB-AS1	27	46	73	740	0	1	0	115	205	0	24	26	221	39	0	8
AC073316.1	4	2	0	0	0	0	0	1	0	0	0	0	3	0	1	0
AC005592.1	0	0	0	0	0	0	0	0	0	0	0	0	50	0	1	0
RP11-478H13.1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RP11-100G15.10	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
OVAAL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-63B19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1024G6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-252M18.3	0	0	0	2	0	0	0	0	0	0	4	8	0	0	0	0
RP11-203L2.4	57	43	4	7	0	0	0	19	55	0	1	0	52	0	6	39
GAGE12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-411K7.1	0	0	10	0	0	4	0	0	0	0	0	1	0	0	0	0
RP5-857K21.15	4	4	7	1	0	0	1	4	2	5	10	2	13	0	6	0
RP11-157D23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-30G7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004019.13	0	0	0	0	0	3	1	3	1	1	4	0	1	0	2	0
DNAJC9-AS1	12	1	0	5	0	0	0	2	2	2	22	23	9	0	2	0
AC007251.2	11	18	3	1	0	0	0	3	12	9	9	4	6	0	0	0
MTUS2-AS2	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0
AC019118.3	1	13	7	0	0	0	0	0	0	0	0	0	1	0	0	0
CTAGE9	8	0	0	0	0	0	0	24	0	0	2	4	3	0	2	0
RP11-168P8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-1184F4.5	16	10	17	1	0	2	0	14	14	35	23	25	1	11	1	0
INTS6-AS1	140	159	72	116	3	2	0	84	98	93	244	163	153	11	77	41
AC078941.1	5	1	0	0	0	0	0	2	1	0	1	0	0	19	0	0
RP11-96L14.7	7	7	0	0	0	0	0	8	2	0	1	0	12	0	0	0
LINC00299	21	67	1	1	0	2	16	14	9	2734	50	115	0	0	30	2
AC006004.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-383C6.2	3	3	7	0	0	0	0	9	13	8	12	4	13	8	3	1
RP11-534L6.2	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
RP5-886K2.3	69	139	86	40	11	6	5	152	158	76	129	106	33	15	64	42
RP11-978I15.10	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC087393.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-137J7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP1-249F5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCYRN1	32	29	4	2	0	0	4	10	12	5	1	1	3	0	4	3
LINC00529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMD-AS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
